nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkmn2k2s_ncc50r1i4u_8_0	    0.023696	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ncc50r1i4u_8_0	    0.298860	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ncc50r1i4u_8_0	    0.531456	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ncc50r1i4u_8_0	    0.528217	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ncc50r1i4u_8_0	     0.302251	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 nnkdt2k2s_ncc50r1i4u_8_0	    0.553090	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ncc50r1i4u_8_0	    4.168747	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ncc50r1i4u_8_0	    3.901162	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ncc50r1i4u_8_0	    3.920030	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ncc50r1i4u_8_0	    4.564667	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ncc50r1i4u_8_0	    5.799376	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ncc50r1i4u_8_0	    4.726654	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ncc50r1i4u_8_0	    4.702300	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ncc50r1i4u_8_0	    4.721184	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ncc50r1i4u_8_0	    4.741780	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkmn2k2s_ncc50r1i4u_8_0	    6.402518	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ncc50r1i4u_8_0	    1.015633	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ncc50r1i4u_8_0	    1.020612	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ncc50r1i4u_8_0	    1.007178	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ncc50r1i4u_8_0	    1.022144	   106.694135869	    14.606473653
nl_bookI_s3	 gnn	 ssd	 8	 1	 fgnnkdt2k2s_ncc50r1i4u_8_0	    1.015187	   106.694135869	    14.606473653
