nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_477	   669.737876252	    80.464252483	     2.229611383
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_318	    69.329982008	    41.373390710	    20.450364598
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_318	   789.793646049	    89.714156962	     5.355009660
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_57	   159.719242902	    65.513807808	     2.295180943
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_212	    50.068286013	    33.633172856	     4.022135602
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_371	   605.495652940	    83.821751082	    13.232290986
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_371	    70.266191786	    42.223722810	    19.262038032
nl_bookI_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   832.693898672	    95.107232532	     5.990748693	 2
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_424	   703.528360202	    87.025086223	     3.001301635
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_114	   167.678088512	    67.682709085	     2.556874207
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_424	    74.779701853	    44.766303895	     2.938524515
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_477	   824.821749876	    79.895967058	     3.101493645
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_265	    50.190742041	    33.611885877	    60.425289536
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_477	    71.890067029	    44.114632002	     2.243502018
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   920.976977493	    98.824581844	     2.423753289
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_171	   145.208519176	    60.474226397	     2.573798978
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_57	   724.876349083	    94.811167046	     2.240267388
nl_bookI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   716.497435096	    88.906650027	     6.286457405	 2
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_318	    47.664786851	    32.189840856	    76.634487998
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_228	   151.865568665	    62.825142025	     2.417927737
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_114	   702.130973977	    85.319540802	     2.600261432
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   774.926279305	    87.845900038	     3.322750241
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_371	    46.540043141	    31.168030143	    10.938691528
nl_bookI_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0	    66.324612760	    39.885139748	     5.394231724	 2
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_285	   150.439818395	    61.389872296	     2.765935391
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_171	   714.447862883	    94.743693563	     4.256564908
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_424	    46.620854347	    31.576373626	     6.226979353
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_57	   719.815761314	    91.191186133	     2.214926174
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_342	   138.406067828	    59.454175807	     2.375421997
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_228	   800.549658597	    93.018302736	     4.275543601
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_477	    44.768369751	    29.752371538	     1.935286437
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_114	   910.702746048	    97.265128353	     3.293659774
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_399	   150.352464459	    63.815736471	     1.746262848
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_285	  1038.199679133	   109.143564101	     2.464447035
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0	    67.246984646	    40.593237719	     5.827356574
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_456	   140.589055597	    60.400917819	     2.603244771
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_171	   858.284641941	   102.426587757	     3.515408708
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_342	  1104.926827733	   104.277749157	     3.458846032
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_513	   122.808317906	    55.679766348	     1.184353776
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_228	   794.779188740	    99.302186030	     2.206907543
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_399	   782.706875377	    96.059928610	     1.909544851
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_285	   744.767771927	    97.328073336	     2.098561479
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_57	    69.085783645	    41.792930744	     6.416366619
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_456	   819.755971818	    92.680391915	     1.692280302
nl_bookI_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0	    47.612920953	    32.334328687	     4.520950239	 3
nl_bookII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0	   158.926555142	    65.931961240	     2.316580101	 0
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_342	   709.267834055	    92.249462309	     2.907505369
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_513	   657.152695353	    83.505114789	     1.360755912
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0	   156.918765331	    62.394824402	    10.900503726
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_399	   816.600776358	    83.973002178	     2.332291159
nl_bookII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   820.277411767	    91.585779491	     2.646860870	 0
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_65	   149.208599227	    59.565760167	    50.839852197
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_114	    66.575742929	    40.334174019	     4.652948200
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_456	   721.235712921	    91.053554744	     4.629455370
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   805.980524312	    89.103530522	    15.899051650
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_513	   989.996304586	    99.347665587	     1.681734391
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0	    48.232756388	    32.588583340	     2.866526679
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_65	   771.342115503	    87.964224078	    44.976243277
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_130	   148.794791977	    60.636725789	   105.255250169
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   728.133285709	    85.708755128	     3.067276271	 0
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_130	   821.943709625	    89.150952799	    23.745404611
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_171	    65.860737036	    39.694490062	     5.649682888
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_195	   166.456705933	    64.183089995	   117.932643993
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_195	   669.247079998	    80.676133711	    93.167633821
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   886.395725521	    95.466843313	    44.777994566
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_260	   158.129089632	    63.856415102	   128.945226125
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_65	   727.517647671	    85.942967103	    34.663594099
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_260	   929.912352183	    89.325126987	   133.163678496
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_228	    68.539153217	    41.475190240	     2.457798321
