nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_342	   640.653949155	   106.677557822	     0.699743602
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_513	  1218.940823334	   135.138936758	     2.936154804
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_399	   815.785384906	   114.066885102	     0.524758142
nl_bookII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1384.891042237	   132.763427366	     4.181540076	 0
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_456	   654.156650249	   106.280044222	     0.678043384
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1531.083641731	   125.214387689	    67.040601624
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_513	   910.739682904	   140.429558436	     0.050242963
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_65	  1334.451902377	   136.982852194	    61.179704710
nl_bookII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   819.177435996	   122.947239577	     0.476449069	 0
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_130	   962.758399740	   120.878502715	    53.119809684
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_195	  1136.537408369	   126.401812909	    68.391862589
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   770.664421506	   122.520641646	    14.520022576
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_260	   832.850074621	   121.781119458	   104.274091514
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_65	   701.066074636	   124.589270055	    47.607964802
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_325	  1525.731350674	   130.349714306	   170.212228967
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_130	   519.098437219	   106.928622146	    80.791149230
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_390	  1464.382061134	   136.674126680	    43.059648241
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_195	   691.502791205	   121.282412230	    77.043965344
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_455	  1419.844782089	   138.931838620	   172.235846263
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_260	   502.299871888	   100.293217230	    83.120098201
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_520	  1192.859989024	   118.895531480	     4.073073879
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_325	   378.535709018	   104.579935519	   160.307708293
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_585	  1450.526111100	   146.186766681	     1.719962449
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_390	   393.572026255	    99.721712847	   237.479252764
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_455	   347.778050244	   102.711014990	   366.408793732
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1386.227152748	   127.270109968	     4.478571605	 5
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_520	   894.448475320	   114.454752780	     4.116271470
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1434.828131606	   139.827387880	    47.597439973
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_585	   800.113659107	   117.595847086	     0.729650978
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_49	  1050.982291732	   113.824040069	    86.886375707
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_98	  1403.618576715	   135.034159635	     7.608865222
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_147	  1423.477285520	   126.584881611	   316.719275820
nl_bookIII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   670.173114691	   106.454788583	     4.589782365	 4
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_196	  1280.592905734	   123.044007101	   162.254608776
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   840.811078260	   129.173498609	     2.330826775
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_245	  1588.552576120	   133.735972325	   155.886262634
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_49	   865.572673633	   124.436574206	     2.578398009
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_294	  1316.005943022	   136.480386688	    10.171096749
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_98	   796.377366305	   126.068881569	     2.893780180
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_343	  1087.760593577	   122.249229817	     3.938210521
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_392	   916.439913632	   122.397019109	     1.902279724
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_147	   823.850003175	   121.847971096	     5.287942290
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_441	  1000.430102118	   119.558811615	     1.760673421
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_196	   803.453378418	   123.570788073	     7.208922042
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_245	   790.151430034	   125.756746161	     5.060516125
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1321.827067514	   131.375848352	     6.773183662	 4
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_294	   810.144530790	   129.297862324	     7.070473544
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1459.078170439	   131.521455959	    56.698623935
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_343	   867.105321401	   127.811008064	     3.184332190
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_51	  1307.795211189	   136.512543490	   149.755932698
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_392	   934.439949568	   126.816776685	     0.123065343
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_102	  1339.042900706	   131.072218843	   118.020920782
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_153	  1744.852322846	   144.034146844	    79.663511970
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_441	   832.557409414	   121.052362165	     0.084831284
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_204	  1465.186441110	   126.477443655	   193.915939759
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_255	  1297.101169526	   122.806607516	    45.112727274
nl_cereal_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   790.052336408	   120.392082165	     2.330758175	 0
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_306	  1602.870299713	   131.490324941	   107.777107678
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   691.393484011	   118.282028202	     1.869027643
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_357	  1465.468042486	   137.415895250	   109.289599267
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_51	   704.716870484	   118.945756220	     2.067496847
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_408	  1654.801401899	   136.070483574	     3.058439678
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_459	  1330.882060519	   127.246995696	     1.223963157
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_102	   656.613565321	   126.988937438	     2.287686978
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_153	   626.424114741	   122.983568381	     4.847074156
nl_juice_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1358.072089211	   131.226119486	     7.755145678	 5
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_204	   600.666101853	   116.349345478	     5.961231908
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1604.133459463	   133.314960803	    43.183644919
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_255	   641.301598513	   112.423456409	     2.590654219
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_38	  1690.694279551	   144.516404030	    38.590737901
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_306	   486.670309663	   112.563825981	    19.672421105
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_76	  1444.446135837	   137.674217586	     1.572434812
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_357	   717.314062369	   120.539820800	     3.951919515
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_114	  1435.343355565	   135.892714428	     1.740096875
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_408	   774.891194907	   117.863707130	     0.571844659
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_152	  1607.156734477	   132.968119232	    87.950113963
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_459	   938.636394175	   115.242353555	     0.099049771
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_190	  1490.474981259	   134.869362067	     4.085553702
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_228	  1308.147459189	   126.251676865	     1.805480552
nl_juice_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   739.437499008	   123.863305041	     1.869042300	 0
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_266	  1271.940460307	   130.345513734	     1.825554419
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   864.809853104	   126.074429974	     1.086102579
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_304	  1726.512628535	   135.054492715	     5.475150804
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_342	   838.256811616	   122.341109938	     0.592673108
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_38	   847.241764560	   129.986210428	     1.191242340
nl_mugI_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1227.280255414	   130.897645740	     1.576523350	 0
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_76	   812.697394691	   116.380127310	     1.333053892
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1391.802402504	   120.112221335	   255.171296210
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_114	   854.442817407	   121.847574541	     1.524813229
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_32	  1522.005219177	   131.896293091	    65.844103188
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_64	  1242.434786487	   127.400956545	    89.758059851
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_152	   871.612695099	   134.650835688	     2.095901561
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_96	  1747.339380082	   140.815409846	    96.342218539
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_190	   848.586451697	   113.166909353	     3.874051708
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_128	  1369.484622537	   109.945746657	   174.785682869
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_160	  1338.127068975	   121.228217160	    24.130390553
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_228	   780.299510696	   121.934294085	     1.852410447
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_192	  2128.054695596	   151.648446930	   199.050914029
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_266	   819.052007330	   126.704809932	     2.009751897
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_224	  1761.464823122	   138.267524604	   227.171377661
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_304	   824.126282143	   137.987459069	     5.213820340
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_256	  1326.418266098	   123.378845908	     2.631850404
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_342	   870.570357473	   139.209721626	     0.126514580
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_288	  1609.040084749	   158.136068712	     0.603462906
nl_mugI_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   857.147439860	   135.161152631	     1.085824293	 0
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	   759.524853557	   126.945042447	    49.630665061
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_32	   761.088440652	   126.422864474	   104.676387934
nl_mugII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1407.008616740	   128.731783140	     4.510071651	 6
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_64	   526.489491322	    98.881612170	    70.723638827
nl_mugIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0	  1280.648013854	   133.230553218	    21.688554831
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_96	   581.247585927	   109.169693589	     9.885197801
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_128	   961.357234635	   107.798113504	   165.050398369
nl_mugIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_63	  1297.562901991	   124.441002797	     7.693732395
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_160	   472.985218136	   103.404218910	   126.145096958
nl_mugIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_126	  1337.166903926	   128.343927833	    10.923259346
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_192	   617.715978053	   127.703849813	     7.484946044
nl_mugIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_189	  1515.026138981	   139.425178109	    63.385260455
nl_mugII_s3	 nnic	 zncc	 8	 1	 nnickmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_224	   424.314026913	   103.258552266	    12.841519209
nl_mugIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_zncc50r1i4u_8_0_init_252	  1562.402972903	   147.240244331	    50.154832147
