nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_114	  1371.670059458	    90.916641993	     0.806182003
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_57	   730.068109680	    85.599043879	     0.528033547
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	  1313.694990130	    88.766771857	     0.915462903
nl_bookI_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_371	   590.733482858	    75.125514901	     3.928592764
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_171	  1480.016335700	    93.460162384	     1.030046205
nl_bookI_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_424	   508.801965939	    78.184357940	     0.697686781
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_114	   661.132873464	    88.403840417	     0.698802050
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_57	  1252.022578262	    92.770513956	     0.968945509
nl_bookI_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_477	   937.594157751	    76.585947291	     0.070838027
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_228	  1442.531173385	    94.598415799	     1.348728063
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_114	  1275.276492171	    92.342959446	     1.035953609
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_171	   613.990343363	    81.601508308	     0.838361583
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_285	  1417.099952233	    89.725632251	     0.966890870
nl_bookI_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   358.347014076	    69.778555347	     0.560383077	 0
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_342	  1208.532190195	    91.754744976	     0.540070076
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_171	   968.574670794	    93.599206002	     1.314214896
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_228	   434.660927406	    80.088746475	     0.914796579
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_399	  1293.720754907	    85.789260903	     0.541311269
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_228	   903.409594315	    93.256663471	     1.595482780
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   649.264983853	    94.094748285	     0.498135101
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_456	  1602.023979395	    94.538690978	     0.582660600
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_285	   363.680362653	    69.968914695	     0.544255786
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_513	  2069.576650256	    96.405147399	     0.059121935
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_285	   880.802649980	    94.399591249	     1.207284572
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_57	   630.817344438	    95.033189498	     0.527995896
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_342	   368.925390318	    70.209644810	     0.649795390
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_342	   858.622908302	    87.605335994	     0.808908835
nl_bookII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1474.996970683	   102.324607214	     0.823321242	 0
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_399	   555.673004197	    83.280778468	     0.524923968
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_399	  1435.617741371	    95.351538188	     0.699932407
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_114	   511.198726855	    88.376556270	     0.699004102
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_456	  1058.732384843	   108.875931295	     0.671517204
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_456	  1663.675727789	   101.335753954	     0.747307357
