nl_bookI_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_371	     9.518699654	     9.004410211	     7.711627101
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_57	    15.500156071	    14.054954381	     6.003619905
nl_bookI_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_424	     8.723339745	     8.259935029	     3.587904791
nl_bookI_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_424	     9.522177489	     8.975006238	     2.744562539
nl_bookI_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_477	     8.418892315	     7.990060323	     2.150705843
nl_bookI_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_477	     8.691487821	     8.250426817	     2.564924761
nl_bookI_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.454152395	     9.780004982	     3.018006335	 0
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_114	    15.198967855	    13.801516889	     8.623385699
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_171	    15.099960333	    13.738415698	     4.931755703
nl_bookI_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0	     9.324631595	     8.827262874	     2.888745518	 1
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.291667510	     9.644727131	     2.689585586
nl_bookI_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0	     8.119080051	     7.723569998	     5.611802330	 1
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_228	    15.097197751	    13.740690543	     6.070746272
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_285	    15.141752283	    13.716564306	     5.475885714
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_342	    15.013471946	    13.658743794	     4.596078779
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_57	    10.307247153	     9.664868436	     2.864662990
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_399	    15.309480568	    13.848925503	     4.095289719
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0	     9.295969529	     8.785510330	     2.444913832
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_456	    15.145657480	    13.752666900	     5.438467599
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0	     8.501469580	     8.075125859	     2.580025787
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_513	    15.495392798	    13.994388297	     5.990091784
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_114	    10.227388033	     9.588523454	     2.877593439
nl_bookII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    15.075707560	    13.625080047	     5.604895037	 0
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_57	     9.271239754	     8.758099174	     2.492635767
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_171	    10.285294784	     9.627886846	     2.876236307
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_57	     7.254519822	     6.902883806	     2.711063284
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_114	     8.823911168	     8.346947507	     2.667818435
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_228	    10.394305889	     9.744180863	     2.748601197
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    12.229511748	    11.147974816	     5.606740902
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_114	     8.783665948	     8.320325761	     2.638130026
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_285	    10.466956997	     9.826581426	     2.610818800
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_65	    15.620700218	    14.149601911	     6.316060071
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_171	     9.663980204	     9.123893936	     2.864466012
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_342	    10.346251793	     9.716895913	     2.506036024
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_399	    10.172797058	     9.593408894	     2.315249615
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_171	     8.665913791	     8.238099305	     2.631767453
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_130	    15.153111269	    13.713591515	     9.082458649
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_228	     9.357230590	     8.838492816	     2.700395787
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_456	    10.271771596	     9.650904720	     2.182942322
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_513	    10.339014466	     9.664161570	     2.036932972
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_195	    15.083035574	    13.648104948	     8.825708646
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_285	     9.313181605	     8.787746613	     2.456155729
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_228	     8.284902203	     7.858062557	     2.766097837
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_260	    15.050497409	    13.634112789	     9.039614129
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_342	     9.311620230	     8.809696038	     2.187053217
nl_bookII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.287197141	     9.649984300	     2.656183076	 0
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_285	     8.369809107	     7.969884973	     2.778442079
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_399	     9.351080011	     8.834516432	     1.994571589
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_325	    14.735170418	    13.388481516	   141.952010411
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_456	     9.395935165	     8.860893771	     1.962867354
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_390	    14.908127912	    13.524359421	   262.677517864
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_513	     9.407693983	     8.881506909	     1.966961396
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_342	     8.342118553	     7.927828123	     2.414388355
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_455	    14.999464009	    13.512596947	     5.694485839
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_520	    15.014616234	    13.598203888	     5.299196397
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_399	     8.526010296	     8.098752657	     2.205415247
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_585	    15.395894549	    13.969732723	     2.972778478
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.244649478	     9.573730605	   103.505701145
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_456	     8.262415192	     7.879732486	     2.098848519
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_513	     8.253336466	     7.859172324	     1.806316818
nl_bookII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0	     9.346654672	     8.836614929	     2.372367196	 0
nl_bookIII_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    15.093723778	    13.671113555	     5.938860788	 1
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_65	    10.241447609	     9.583273038	   100.814152446
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    11.559857562	    10.570373521	    35.803925744
nl_bookII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0	     8.534173747	     8.088750644	     2.528361495	 0
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_49	    15.857684871	    14.335192755	   305.315726641
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0	     8.774702859	     8.290948092	     4.083726596
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_130	    10.373257631	     9.716944434	   103.656278229
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_98	    15.533477504	    14.076808334	   177.221366488
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_147	    14.746577844	    13.418240556	   117.413886408
