nl_bookII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_513	  1777.919173362	   102.017539101	     0.060881035
nl_bookII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_285	  1077.769294477	    91.690249769	     4.065946655
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_159	    83.152632984	    44.301577325	     1.873948019
nl_bookII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_342	  1084.417903427	    89.849801166	     5.233682834
nl_bookII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1362.240400122	   107.797678032	     0.821882773	 0
nl_bookII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_399	  1372.059266779	    89.069107470	     1.861575740
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_159	   134.071875100	    49.182501698	     1.855924758
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_212	    92.619439443	    46.635592745	     1.234307939
nl_bookII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_456	  2043.276996660	    95.913115839	     1.259340381
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1276.503722007	    87.838796293	     4.504793485
nl_bookII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_513	  2794.742536982	   107.815239669	     0.071041690
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_212	   148.531588458	    52.197826115	     1.225095328
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_65	  1171.937994131	    96.796505193	     4.918645531
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_265	   124.056936631	    49.181225457	     2.184717327
nl_bookII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1246.481070260	    87.283405682	     1.704649271	 0
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_265	   193.773274830	    53.390098859	     2.291966169
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_130	   736.113870761	    81.356524224	     5.471241358
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_318	    95.737471704	    43.170171220	     2.872168035
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1846.006520178	   102.446235954	     2.846418425
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_195	   861.486784906	    90.958388989	    17.827304076
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_371	   122.158375753	    49.682675665	     3.927230498
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_318	   152.919930176	    48.663957421	     3.003451569
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_65	  1393.291061762	    91.654377812	     3.167560765
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_424	   122.531818261	    53.112173535	     0.697290680
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_371	   154.688826986	    51.062396934	     3.934345805
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_260	   425.596275149	    74.025362245	   136.797692883
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_477	   210.394594827	    64.069173419	     0.070729052
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_130	  1277.697402971	    95.709748490	     3.587816979
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_424	   235.973358870	    67.806644239	     0.696141710
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_325	   657.220098444	    87.108138644	   156.312591443
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_477	   263.252871726	    65.677420387	     0.082837347
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_195	   871.351999518	    83.939859353	    35.079770941
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_390	   553.585099079	    84.059193966	   188.980815551
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_260	  1201.860421694	    97.115896390	     5.370319476
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_455	   411.677952129	    82.609759622	   165.663004063
nl_bookI_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1	   118.255224361	    47.893990258	     0.573958398	 0
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_325	  1426.758839334	    98.217714892	   132.482571118
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_520	  1667.444299238	    98.616867539	     4.168230687
nl_bookI_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1	   146.678718528	    52.476207595	     0.575159064	 0
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_585	  2079.752309074	   100.289916891	     0.709748532
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_390	  1073.746576564	    91.650523481	   167.185482385
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1	   160.986345984	    61.589229982	     0.497812085
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_455	  1172.604257824	    88.338716398	     2.373537151
nl_bookIII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1177.292547511	    87.553641133	     4.504793485	 0
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1	   152.449293364	    57.045686312	     0.498180934
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_520	  2304.626151198	    95.364099378	     2.508946717
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_585	  3100.103244582	   105.714729024	     0.595600580
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1241.880528928	    88.385268064	     3.035758272
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_57	   158.564616744	    61.681404532	     0.528133893
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_49	  1024.368337449	    89.540661752	     3.371420059
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_57	   125.395455939	    54.839647706	     0.528780421
nl_bookIII_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1662.185590444	    90.509490214	     2.846418425	 0
