nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_325	   690.867868893	   120.962856102	   175.419603210
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_171	   930.092008388	   131.205610011	    13.775696488
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_390	   872.476568404	   119.861778687	    38.220056619
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_455	   882.199880358	   124.576196081	   360.288980506
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_228	   899.560774861	   133.498939042	     5.847882338
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_520	   643.139629732	   119.082069035	     6.156734106
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_585	   829.610937283	   112.550280532	     4.321126065
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_285	   760.703223749	   119.508801931	     5.557592905
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_342	   853.820170132	   131.678968089	     5.979052742
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_399	   759.739646792	   123.967963311	     5.513607988
nl_bookIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   682.094131957	   120.046602918	     7.521801659	 6
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_456	   575.341207515	   122.524904900	     4.633155849
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   796.809276797	   120.117055472	     8.063336102
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_49	   641.493755839	   113.959657580	    28.819724174
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_513	   776.979527631	   123.159624911	     5.767587934
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_98	   621.021242765	   116.518419095	     6.424792061
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_147	   622.877312403	   116.980206303	     7.631712276
nl_bookII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   683.947752723	   118.503316831	     6.101367711	 1
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_196	   817.745325408	   112.143048599	     9.117831281
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_245	   590.613737289	   108.827680060	   124.049668189
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   836.269110587	   125.436141534	    27.336554621
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_294	   717.025604032	   118.595571152	     9.568740866
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_343	   773.889459165	   112.974473174	     6.656945461
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_65	  1070.018170590	   124.787675188	    92.120820622
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_392	   718.007066599	   125.143443034	     5.620912093
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_441	   863.739654702	   133.996590066	     5.033934520
